PlanTable,ItemID,OptionPhase,PackID,Description,OnlineDescription,Qty,UOM,SellEach,CostEach,ExtPrice,ExtCost,MarginDollar,MarginPercent,Category,PriceLevel,CostUOM,BlendCost,AvgCost
plan_1670ABCD_CR,24DF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,bracing,2X4-RL STD&BTR DF,60,MBF,634.83,0.363514867,25.41,21.810892,$89.83 ,14.15%,2503,09,544.9998,,
plan_1670ABCD_CR,2616HF3TICAG,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,sill plate,2X6-16' #3 HF TRTD AG ICT,12,MBF,872.94,10.0166384,167.6,120.1996608,$246.90 ,28.28%,3002,09,626.0399,,
plan_1670ABCD_CR,4410GDF,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,crawl post,4X4-10' STD&BTR DF GRN,6,MBF,714.29,7.854396969,57.14,47.12638181,$125.20 ,17.53%,2201,09,589.0945,,
plan_1670ABCD_CR,4610GDF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,crawl post,4X6-10' #2&BTR DF GRN,2,MBF,630.95,10.9,25.24,21.8,$85.95 ,13.62%,2201,09,545,,
plan_1670ABCD_CR,488GDF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,crawl post,4X8-8' #2 DF GRN,2,MBF,815.48,13.75978713,34.79,27.51957427,$170.48 ,20.91%,2201,09,645.0001,,
plan_1670ABCD_CR,4810GDF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,floor beam,4X8-10' #2 DF GRN,5,MBF,815.48,17.20021767,108.73,86.00108833,$170.48 ,20.91%,2201,09,645.0001,,
plan_1670ABCD_CR,4816GDF2,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,crawl post,4X8-16' #2 DF GRN,15,MBF,815.48,27.52021073,521.91,412.803161,$170.48 ,20.91%,2201,09,644.9999,,
plan_1670ABCD_CR,612100B,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,poly,12'X100' 6 MIL BLACK POLY,1,EA,52.49,39.37,52.49,39.37,$13.12 ,25.00%,4201,08,39.37,,
plan_1670ABCD_CR,716OSB,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,gusset,"7/16""4X8 OSB RTD",2,MSF,307.95,8.7398496,19.71,17.4796992,$34.83 ,11.31%,3506,08,273.1203,,
plan_1670ABCD_CR,A34,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,crawl post,SIMPSON A34 FRAMNG ANCHOR,35,EA,0.49,0.3799,17.15,13.2965,$0.11 ,22.47%,4502,05,0.3799,,
plan_1670ABCD_CR,BP5/8-3HDG,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,bearing  plate,"5/8"" 3X3 BEARING PLATE HDG",68,EA,0.67,0.5199,45.56,35.3532,$0.15 ,22.40%,4502,05,0.5199,,
plan_1670ABCD_CR,HU48,"167010100 - 4085 , 167010200 - 4085 , 167010300 - 4085 , 167010400 - 4085",|10ABCD FOUNDATION,beam hanger,FACE MOUNT HANGER,4,EA,11.36,8.86,45.44,35.44,$2.50 ,22.01%,4502,05,8.86,,
