Customer Name,Customer Type,Account Type,Status,Bill-To ID,Invoice-To ID,Sales ID,Salesperson Name,Credit Loc,Location,Title,CC Fee,Pricing Method,Promo Eligible,Retail Discount Eligible,Employee Pricing Eligible,PCC1,PCC2,PCC3,01-Lumber,02-StrctP,03-EngWdP,04-TrusWP,05-MilWrk,06-Window,07-Doors,08-CabTop,09-SidMCn,10-Insul,11-Roofing,12-Gypsum,13-Hrdwr,14-HomeCen,special
BEND QUOTE 71,SINGLE FAMILY,Q,Active,825013,825013,P900268,BEND OR YARD HOUSE ACCOUNT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,l5
BEND QUOTE 72,SINGLE FAMILY,Q,Active,825014,825014,P900268,BEND OR YARD HOUSE ACCOUNT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,09,11,10,12,08,12,10,08,10,08,04,10,04,01,l5
BEND QUOTE 73,SINGLE FAMILY,Q,Active,825015,825015,P900268,BEND OR YARD HOUSE ACCOUNT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,08,09,08,12,08,10,10,08,08,08,04,10,02,03,l5
BEND QUOTE 74,SINGLE FAMILY,Q,Active,825017,825017,P900268,BEND OR YARD HOUSE ACCOUNT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,06,06,07,12,08,07,05,08,06,06,02,08,04,02,l5
BEND QUOTE 75,SINGLE FAMILY,Q,Active,825018,825018,P900268,BEND OR YARD HOUSE ACCOUNT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,04,04,05,12,06,06,05,08,05,05,01,06,03,03,l5
HERITAGE HMS OF MOLALLA OR*,SINGLE FAMILY,M,Active,655352,655352,P761647,COREY BOSER,LACEWACR,CLACORAD,LACE,N,New,Yes,Yes,No,,,,09,08,10,01,11,12,10,09,09,08,06,08,05,01,l5
QUOTE 71,SINGLE FAMILY,Q,Active,670526,670526,P900270,CLACKAMAS OR YARD HOUSE ACCT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,12,12,12,12,12,12,12,12,12,12,12,12,03,03,l5
QUOTE 72,SINGLE FAMILY,Q,Active,667292,667292,P900270,CLACKAMAS OR YARD HOUSE ACCT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,09,08,10,01,11,12,10,09,09,08,06,08,03,03,l5
QUOTE 73,SINGLE FAMILY,Q,Active,667293,667293,P900270,CLACKAMAS OR YARD HOUSE ACCT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,08,07,09,01,10,12,09,08,09,07,05,07,03,03,l5
QUOTE 74,SINGLE FAMILY,Q,Active,667294,667294,P900270,CLACKAMAS OR YARD HOUSE ACCT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,07,06,08,01,06,10,09,08,08,04,06,07,04,02,l5
QUOTE 75,SINGLE FAMILY,Q,Active,667295,667295,P900270,CLACKAMAS OR YARD HOUSE ACCT,LACEWACR,CLACORAD,LACE,N,New,Yes,No,No,,,,05,04,06,01,08,10,06,08,07,04,11,08,03,03,l5
RICHMOND AMERICAN HOMES OR*,SINGLE FAMILY,M,Active,633637,633637,P761647,COREY BOSER,LACEWACR,CLACORAD,LACE,N,New,Yes,Yes,No,,,,09,08,10,01,11,12,10,09,09,08,06,08,05,01,l5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
