CUSTOMER,HERITAGE HMS OF MOLALLA OR*,,,,,,,,,,,,,,,"03
ENGINEERED WOOD PRODUCTS","04
TRUSSES AND WALL PANELS","05
MILLWORK","06
WINDOWS","07
DOORS","08
CABINETS & TOPS","09
SIDINGS, METAL AND CONCRETE","10
INSULATION, WEATHERPROOFING","11
ROOFING","12
GYPSUM & ACCESSORIES","13
HARDWARE, TOOLS, FASTENERS","14
HOME CENTER PRODUCTS",special
MARGIN CHANGES TO APPLY,,,,,,,,,,,,,,,,3,4,5,6,7,8,9,10,11,12,13,14,15
"Enter your margin changes below. Use ""ALL"" in Item ID to apply to entire category.",,,,,,,,,,,,,,,,10,01,11,12,10,09,09,08,06,08,05,01,l5
Pricing Zone,Product Category,Minor Category,Item ID,Description,New Margin %,Apply to ALL?,Multiple Items,Single Item,Price Level,Status,Target Column,Notes,Category,Dart_Category_No,Minor_Category_No
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 13 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 22 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2005 - RIM BOARDS,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 7 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 51 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2011 - WEYERHAEUSER - I JOIST,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 8 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2012 - WEYERHAEUSER - LVL,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 3 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2013 - WEYERHAEUSER - LSL,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 29 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2031 - LOUISIANA-PACIFIC - I JOIST,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 13 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2032 - LOUISIANA-PACIFIC - LVL,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 15 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2033 - LOUISIANA-PACIFIC - LSL,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 7 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
PORTOR,20 - ENGINEERED LBR,2041 - BOISE CASCADE - I JOIST,ALL,,15.00%,YES,TRUE,FALSE,10,OK - Updated 11 items @ PL10,AU,Will update PL10 → Column AU,#N/A,1,#N/A
