Plan Sheet,Model,Elevations,Garage,Living Area Total,Living Area Main,Living Area Upper,Garage Area,Date,Bid Number
1670ABCD CR,1670 - Coyote Ridge,"A (Northwest), B (Prairie), C (Modern), D (Farmhouse)","2-Car (L/R), optional 3-Car (L/R)",1670,688,982,425/ 645,10/6/2025,4176773
1890ABD CR,1890 - Coyote Ridge,"A (Northwest Modern), B (Prairie), D (Farmhouse)","2-Car (L/R), optional 3-Car (L/R)",1890,842,1048,425/ 629,5/26/2025,
2321ABC CR,2321 - Coyote Ridge,"A (Craftsman), B (Craftsman), C (Prairie)",3-Car (L/R),2321,1081,1240,664,10/10/2025,
2383ACD CR,2383 - Coyote Ridge,"A (NW), C (Modern), D (Farmhouse)","2-Car (L/R), optional 3-Car (L/R)",2383,1556,827,451/ 658,10/6/2025,
2414ACD CR,2414 - Coyote Ridge,"A (Northwest), C (Modern), D (Farmhouse)",2-Car (L/R),2414,1180,1234,736,10/6/2025,
2676AC CR,2676 - Coyote Ridge,"A, C","2-Car (L/R), optional 3-Car (L/R)",2676,1152,1524,445/ 760,10/6/2025,
1633BCD WR,1633,"B, C, D",2-Car (L/R),1633,753,880,419,5/26/2025,
1890ABD WR,1890 - Coyote Ridge,"A (Northwest Modern), B (Prairie), D (Farmhouse)","2-Car (L/R), optional 3-Car (L/R)",1890,842,1048,425/ 629,5/26/2025,
1987ACD WR,1987 - Willow Ridge,"A (Northwest Modern), C (Modern), D (Farmhouse)","2-Car (L/R), optional 3-Car (L/R)",1987,989,998,476/ 686,5/26/2025,
2184ACD WR,2184 - Willow Ridge,"A (Craftsman Northwest), C (Modern), D (Farmhouse)","2-Car (L/R), optional 3-Car (L/R)",2184,1004,1180,414/ 632,5/26/2025,
2299ACD WR,2299 - Willow Ridge,"A (NW), C (Modern), D (Farmhouse)",2-Car Left (2L); 3-Car Left (3L),2299,1004,1295,474/ 696,10/16/2025,
2336BCD WR,2336 - Willow Ridge,"B (Prairie), C (Modern), D (Farmhouse)"," 2-Car (L/R), optional 3-Car (L/R)",2336,957,1379,521/ 731,9/25/2025,
1649A PTO GG,1649A - Parr Takeoff - Golden Grove,A (Northwest),2-Car (L/R),1649,770,879,430,10/15/2025,
2299A PTO GG,2299A - Parr Takeoff - Golden Grove,A (NW),2-Car Left (2L),2299,1004,1295,474,10/15/2025,
2336C PTO GG,2336C - Parr Takeoff - Golden Grove,C (Modern), 2-Car (L/R),2336,957,1379,521,10/16/2025,
1649ABC GG,1649 - Golden Grove,"A (Northwest), B (Prairie), C (Modern)","2-Car (L/R), optional 3-Car (L/R)",1649,770,879,430/ 670,10/16/2025,
1890ABD GG,1890 - Golden Grove,"A (Northwest Modern), B (Prairie), D (Farmhouse)"," 2-Car (L/R), optional 3-Car (L/R)",1890,842,1048,425/ 629,5/26/2025,
2184ACD GG,2184 - Golden Grove,"A (Craftsman Northwest), C (Modern), D (Farmhouse)","2-Car (L/R), optional 3-Car (L/R)",2184,1004,1180,414/ 632,9/29/2025,
2299ACD GG,2299 - Golden Grove,"A (NW), C (Modern), D (Farmhouse)",2-Car Left (2L); 3-Car Left (3L),2299,1004,1295,474/ 696,10/16/2025,
