CUSTOMER,HERITAGE HMS OF MOLALLA OR*
PRICE CHANGES TO APPLY
"Enter your margin changes below. Use ""ALL"" in Item ID to apply to entire category."
Pricing Zone,Product Category,Minor Category,Item ID,Description,New_Price,Price Level,Status,Target Column,Notes,Category,Dart_Category_No,Minor_Category_No
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2616HF3TICAG,2X6-16' #3 HF TRTD AG ICT,857.65,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,248HF2TICGC,2X4-8' #2 HF TRTD GC ICT,1082.35,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2412HF2TICGC,2X4-12' #2 HF TRTD GC ICT,1082.35,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2420HF2TICGC,2X4-20' #2 HF TRTD GC ICT,1082.35,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,268HF2TICGC,2X6-8' #2 HF TRTD GC ICT,1005.88,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2610HF2TICGC,2X6-10' #2 HF TRTD GC ICT,1005.88,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2612HF2TICGC,2X6-12' #2 HF TRTD GC ICT,1005.88,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2614HF2TICGC,2X6-14' #2 HF TRTD GC ICT,1005.88,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2616HF2TICGC,2X6-16' #2 HF TRTD GC ICT,1005.88,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2620HF2TICGC,2X6-20' #2 HF TRTD GC ICT,1005.88,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,288HF2TICGC,2X8-8' #2 HF TRTD GC ICT,1047.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2810HF2TICGC,2X8-10' #2 HF TRTD GC ICT,1047.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2812HF2TICGC,2X8-12' #2 HF TRTD GC ICT,1047.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2814HF2TICGC,2X8-14' #2 HF TRTD GC ICT,1047.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2816HF2TICGC,2X8-16' #2 HF TRTD GC ICT,1047.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2820HF2TICGC,2X8-20' #2 HF TRTD GC ICT,1047.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2108HF2TICGC,2X10-8' #2 HF TRTD GC ICT,1067.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,21010HF2TICGC,2X10-10' #2 HF TRTD GC ICT,1067.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,21012HF2TICGC,2X10-12' #2 HF TRTD GC ICT,1067.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,21016HF2TICGC,2X10-16' #2 HF TRTD GC ICT,1067.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,21020HF2TICGC,2X10-20' #2 HF TRTD GC ICT,1067.06,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,2128HF2TICGC,2X12-8' #2 HF TRTD GC ICT,1072.94,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
PORTOR,30 - TREATED,3002 - TREATED LUMBER,21210HF2TICGC,2X12-10' #2 HF TRTD GC ICT,1072.94,09,,AR,Will update PL09 → Column AR,3002 ,1,3002
