Richmond_Pack_ID,Shipping_Order,Elevation_Letters_Original,Option_Codes,Phase_Str,Pack_Name,Item_No,Item_Type,Old_Code,Plan_No,New_Phase_Code,New_Elevation_Code,New_Item_Type_Code,New_Full_Code
009.000 WO BASEMENT WALLS     ,1,,,09.00,WO BASEMENT WALLS     ,1000,Framing,XXXX-09.00-1000,PPPP,009.000,**,1000,PPPP-009.000-**-1000
009.200 WO BASEMENT WALLS 2    ,1,,WO2,09.20,WO BASEMENT WALLS 2    ,1000,Framing,XXXX-09.20-1000,PPPP,009.200,**,1000,PPPP-009.200-**-1000
010.000 FOUNDATION       ,1,,,10,FOUNDATION       ,1000,Framing,XXXX-10-1000,PPPP,010.000,**,1000,PPPP-010.000-**-1000
010.020 OPT FIREPLACE FOUNDATION,1,,FPSING01,10.02,OPT FIREPLACE FOUNDATION,1000,Framing,XXXX-10.02-1000,PPPP,010.020,**,1000,PPPP-010.020-**-1000
010.600 EXTENDED GREAT ROOM FOUNDATION    ,1,,XGREAT,10.6,EXTENDED GREAT ROOM FOUNDATION    ,1000,Framing,XXXX-10.6-1000,PPPP,010.600,**,1000,PPPP-010.600-**-1000
010.610 SUNROOM FOUNDATION      ,1,,SUN,10.61,SUNROOM FOUNDATION      ,1000,Framing,XXXX-10.61-1000,PPPP,010.610,**,1000,PPPP-010.610-**-1000
010.820 OPT DEN FOUNDATION     ,1,,,10.82,OPT DEN FOUNDATION     ,1000,Framing,XXXX-10.82-1000,PPPP,010.820,**,1000,PPPP-010.820-**-1000
010.820 OPT DEN FOUNDATION     ,1,"B, C, D",,10.82,OPT DEN FOUNDATION     ,1000,Framing,XXXX-10.82-1000,PPPP,010.820,BCD,1000,PPPP-010.820-BCD-1000
010.830 OPT DEN W/FULL BATH FOUNDATION   ,1,"B, C, D",,10.83,OPT DEN W/FULL BATH FOUNDATION   ,1000,Framing,XXXX-10.83-1000,PPPP,010.830,BCD,1000,PPPP-010.830-BCD-1000
010.008 TALLCRAWL FRAMING      ,1,,TALLCRWL,10.tc,TALLCRAWL FRAMING      ,1000,Framing,XXXX-10.tc-1000,PPPP,010.008,**,1000,PPPP-010.008-**-1000
010.000 FOUNDATION       ,1,"B, C, D",,10,FOUNDATION       ,1000,Framing,XXXX-10-1000,PPPP,010.000,BCD,1000,PPPP-010.000-BCD-1000
011.000 MAIN JOIST SYSTEM @FOUNDATION    ,1,,,11,MAIN JOIST SYSTEM @FOUNDATION    ,1000,Framing,XXXX-11-1000,PPPP,011.000,**,1000,PPPP-011.000-**-1000
011.010 MAIN JOIST SYSTEM FIREPLACE ADD ON @FOUNDATION ,1,,FPSING,11.01,MAIN JOIST SYSTEM FIREPLACE ADD ON @FOUNDATION ,1000,Framing,XXXX-11.01-1000,PPPP,011.010,**,1000,PPPP-011.010-**-1000
011.600 MAIN JOIST SYSTEM @ EXTENDED GREAT ROOM ,1,,XGREAT,11.6,MAIN JOIST SYSTEM @ EXTENDED GREAT ROOM ,1000,Framing,XXXX-11.6-1000,PPPP,011.600,**,1000,PPPP-011.600-**-1000
011.620 MAIN JOIST SYSTEM LOFT 2 ADD ON @FOUNDATION,1,,LOFT2,11.62,MAIN JOIST SYSTEM LOFT 2 ADD ON @FOUNDATION,1000,Framing,XXXX-11.62-1000,PPPP,011.620,**,1000,PPPP-011.620-**-1000
012.000 OPT 3RD CAR GARAGE FOUNDATION   ,1,,"3CARA, 3CARB, 3CARC",12,OPT 3RD CAR GARAGE FOUNDATION   ,1000,Framing,XXXX-12-1000,PPPP,012.000,**,1000,PPPP-012.000-**-1000
012.400 OPT 4 CAR GARAGE TANDEM FOUNDATION  ,1,,"4CARTA, 4CARTB, 4CARTC",12.4,OPT 4 CAR GARAGE TANDEM FOUNDATION  ,1000,Framing,XXXX-12.4-1000,PPPP,012.400,**,1000,PPPP-012.400-**-1000
012.205 OPT 2 CAR GARAGE 2' EXT FOUNDATION ,1,,GAREXT2,12.2x,OPT 2 CAR GARAGE 2' EXT FOUNDATION ,1000,Framing,XXXX-12.2x-1000,PPPP,012.205,**,1000,PPPP-012.205-**-1000
012.405 OPT 2 CAR GARAGE 4' EXT FOUNDATION ,1,"A, B, C","2CAR4XA, 2CAR4XB, 2CAR4XC",12.4x,OPT 2 CAR GARAGE 4' EXT FOUNDATION ,1000,Framing,XXXX-12.4x-1000,PPPP,012.405,ABC,1000,PPPP-012.405-ABC-1000
012.505 OPT 2 CAR GARAGE 5' EXT FOUNDATION ,1,"A, B","2CAR5XA, 2CAR5XB",12.5x,OPT 2 CAR GARAGE 5' EXT FOUNDATION ,1000,Framing,XXXX-12.5x-1000,PPPP,012.505,AB,1000,PPPP-012.505-AB-1000
012.000 3RD CAR GARAGE FOUNDATION    ,1,"A, B, D","3CARA, 3CARB, 3CARD",12,3RD CAR GARAGE FOUNDATION    ,1000,Framing,XXXX-12-1000,PPPP,012.000,ABD,1000,PPPP-012.000-ABD-1000
012.000 3RD CAR GARAGE FOUNDATION    ,1,"B, C, D","3CARB, 3CARC, 3CARD",12,3RD CAR GARAGE FOUNDATION    ,1000,Framing,XXXX-12-1000,PPPP,012.000,BCD,1000,PPPP-012.000-BCD-1000
013.100 COVERED PATIO FOUNDATION     ,1,,COVP,13.1,COVERED PATIO FOUNDATION     ,1000,Framing,XXXX-13.1-1000,PPPP,013.100,**,1000,PPPP-013.100-**-1000
013.200 COVERED PATIO 2 FOUNDATION    ,1,,COVP2,13.2,COVERED PATIO 2 FOUNDATION    ,1000,Framing,XXXX-13.2-1000,PPPP,013.200,**,1000,PPPP-013.200-**-1000
013.200 COVERED PATIO 2 FOUNDATION    ,1,,COVP2,13.2,COVERED PATIO 2 FOUNDATION    ,1000,Framing,XXXX-13.2-1000,PPPP,013.200,**,1000,PPPP-013.200-**-1000
013.300 COVERED PATIO 3 FOUNDATION    ,1,,COVP3,13.3,COVERED PATIO 3 FOUNDATION    ,1000,Framing,XXXX-13.3-1000,PPPP,013.300,**,1000,PPPP-013.300-**-1000
014.100 DECK FOUNDATION      ,1,,DECK,14.1,DECK FOUNDATION      ,1000,Framing,XXXX-14.1-1000,PPPP,014.100,**,1000,PPPP-014.100-**-1000
