MARGIN CHANGES TO APPLY,,,,,,,,,
"Enter your margin changes below. Use ""ALL"" in Item ID to apply to entire category.",,,,,,,,,
,,,,,,,,,
Pricing Zone,Product Category,Minor Category,Item ID,Description,New Margin %,Apply to ALL?,Status,Price Level,Notes
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2005 - RIM BOARDS,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2011 - WEYERHAEUSER - I JOIST,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2012 - WEYERHAEUSER - LVL,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2013 - WEYERHAEUSER - LSL,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2031 - LOUISIANA-PACIFIC - I JOIST,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2032 - LOUISIANA-PACIFIC - LVL,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2033 - LOUISIANA-PACIFIC - LSL,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2041 - BOISE CASCADE - I JOIST,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2042 - BOISE CASCADE - LVL,ALL,,17.00%,YES,,PL10,
PORTOR,20 - ENGINEERED LBR,2043 - BOISE CASCADE - LSL,ALL,,17.00%,YES,,PL10,
PORTOR,25 - LUMBER,2510 - MISC. LUMBER,2210WWP,"2""X2""-10' WW PRIMED",16.00%,NO,,PL09,
PORTOR,25 - LUMBER,2510 - MISC. LUMBER,2220WWP,"2""X2""-20' WW PRIMED",16.00%,NO,,PL09,
PORTOR,25 - LUMBER,2510 - MISC. LUMBER,2420WWP,"2""X4""-20' WW PRIMED",16.00%,NO,,PL09,
PORTOR,25 - LUMBER,2510 - MISC. LUMBER,2616WWP,"2""X6""-16' WW PRIMED",16.00%,NO,,PL09,
PORTOR,25 - LUMBER,2510 - MISC. LUMBER,2620WWP,"2""X6""-20' WW PRIMED",16.00%,NO,,PL09,
PORTOR,25 - LUMBER,2510 - MISC. LUMBER,2816WWP,"2""X8""-16' WW PRIMED",16.00%,NO,,PL09,
PORTOR,25 - LUMBER,2510 - MISC. LUMBER,2820WWP,"2""X8""-20' WW PRIMED",16.00%,NO,,PL09,
PORTOR,25 - LUMBER,2510 - MISC. LUMBER,21016WWP,"2""X10""-16' WW PRIMED",16.00%,NO,,PL09,
