RL_TAG,Product Description,05/23/2025,Freight (MBF),Margin,,,
LCEV,2X4 STD&BTR HEM/FIR KD,$470 ,$50 ,11%,,,
LAAB,2X6 2&BTR HEM/FIR KD,$365 ,$50 ,11%,,,
LAAC,2X8 2&BTR HEM/FIR KD,$415 ,$50 ,12%,,,
LAAD,2X10 2&BTR HEM/FIR KD,$375 ,$50 ,12%,,,
LAAE,2X12 2&BTR HEM/FIR KD,$380 ,$50 ,12%,,,
LCEO,2X4 STD&BTR DOUG/FIR KD,$515 ,$50 ,11%,24DF,,
LCEO,,$515 ,$50 ,11%,248DF,,
LCEO,,$515 ,$50 ,11%,2410DF,,
LCEO,,$515 ,$50 ,11%,2412DF,,
LCEO,,$515 ,$50 ,11%,2414DF,,
LCEO,,$515 ,$50 ,11%,2416DF,,
LCEO,,$515 ,$50 ,11%,2418DF,,
LCEO,,$515 ,$50 ,11%,2420DF,,
LADB,2X6 2&BTR DOUG/FIR KD,$445 ,$50 ,11%,26DF2,,
LADB,,$445 ,$50 ,11%,268DF2,,
LADB,,$445 ,$50 ,11%,2610DF2,,
LADB,,$445 ,$50 ,11%,2612DF2,,
LADB,,$445 ,$50 ,11%,2614DF2,,
LADB,,$445 ,$50 ,11%,2616DF2,,
LADB,,$445 ,$50 ,11%,2618DF2,,
LADB,,$445 ,$50 ,11%,2620DF2,,
LADC,2X8 2&BTR DOUG/FIR KD,$520 ,$50 ,12%,28DF2,,
LADB,,$520 ,$50 ,11%,288DF2,,
LADB,,$520 ,$50 ,11%,2810DF2,,
LADB,,$520 ,$50 ,11%,2812DF2,,
LADB,,$520 ,$50 ,11%,2814DF2,,
LADB,,$520 ,$50 ,11%,2816DF2,,
LADB,,$520 ,$50 ,11%,2818DF2,,
LADB,,$520 ,$50 ,11%,2820DF2,,
LADD,2X10 2&BTR DOUG/FIR KD,$520 ,$50 ,12%,210DF2,,
LADD,,$520 ,$50 ,12%,2108DF2,,
LADD,,$520 ,$50 ,12%,21010DF2,,
LADD,,$520 ,$50 ,12%,21012DF2,,
LADD,,$520 ,$50 ,12%,21014DF2,,
LADD,,$520 ,$50 ,12%,21016DF2,,
LADD,,$520 ,$50 ,12%,21018DF2,,
LADD,,$520 ,$50 ,12%,21020DF2,,
LADE,2X12 2&BTR DOUG/FIR KD,$510 ,$50 ,12%,212DF2,,
LADE,,$510 ,$50 ,12%,2128DF2,,
LADE,,$510 ,$50 ,12%,21210DF2,,
LADE,,$510 ,$50 ,12%,21212DF2,,
LADE,,$510 ,$50 ,12%,21214DF2,,
LADE,,$510 ,$50 ,12%,21216DF2,,
LADE,,$510 ,$50 ,12%,21218DF2,,
LADE,,$510 ,$50 ,12%,21220DF2,,
LAAK,"2X4 92-5/8"" STUD HEM/FIR KD",$310 ,$50 ,12%,,,
LBYT,"2X4 104-5/8"" STUD HEM/FIR KD",$390 ,$50 ,12%,,,
LBZC,"2X4 116-5/8"" STUD HEM/FIR KD",$370 ,$50 ,12%,,,
LBYU,"2X6 92-5/8"" STUD HEM/FIR KD",$300 ,$50 ,12%,,,
LBYV,"2X6 104-5/8"" STUD HEM/FIR KD",$395 ,$50 ,13%,,,
PABX,"7/16"" 4X8 OSB",$242 ,$29 ,12%,716OSB,,
PABX,"7/16"" 4X9 OSB (4x8 + $10)",$242 ,$39 ,12%,716OSB9,,
PABX,"7/16"" 4X10 OSB (4x9 + $10)",$242 ,$49 ,12%,716OSB10,,
PAER,3/4 4X8 OSB T&G EdgeGold,$435 ,$99 ,14%,34TGOSBWGOFF,,
PAER,7/8 4X8 OSB T&G EdgeGold,$435 ,$230 ,14%,78TGOSBWGOFF,,
PAER,1-1/8 4X8 OSB T&G EdgeGold,$435 ,$440 ,14%,118TGOSBWGOFF,,
LCQS,"2X6 116-5/8"" STUD HEM/FIR KD",$370 ,$50 ,13%,,,
LADK,"2X4 92-5/8"" STUD DOUG/FIR KD",$330 ,$50 ,12%,249258DF,,
LBYW,"2X4 104-5/8"" STUD DOUG/FIR KD",$400 ,$50 ,12%,2410458DF,,
LCQH,"2X4 116-5/8"" STUD DOUG/FIR KD",$375 ,$50 ,12%,2411658DF,,
LBYX,"2X6 92-5/8"" STUD DOUG/FIR KD",$300 ,$50 ,12%,269258DF,,
LBYY,"2X6 104-5/8"" STUD DOUG/FIR KD",$400 ,$50 ,13%,2610458DF,,
LCQT,"2X6 116-5/8"""" STUD DOUG/FIR KD",$385 ,$50 ,12%,2611658DF,,
LCEV,24HF2TICGC,$470 ,$460 ,15%,24HF2TICGC,,
LCEV,,$470 ,$460 ,15%,248HF2TICGC,,
LCEV,,$470 ,$460 ,15%,2412HF2TICGC,,
LCEV,,$470 ,$460 ,15%,2420HF2TICGC,,
LAAB,26HF2TICGC,$365 ,$460 ,15%,26HF2TICGC,,
LAAB,,$365 ,$460 ,15%,268HF2TICGC,,
LAAB,,$365 ,$460 ,15%,2610HF2TICGC,,
LAAB,,$365 ,$460 ,15%,2612HF2TICGC,,
LAAB,,$365 ,$460 ,15%,2614HF2TICGC,,
LAAB,,$365 ,$460 ,15%,2616HF2TICGC,,
LAAB,,$365 ,$460 ,15%,2620HF2TICGC,,
LAAC,28HF2TICGC,$415 ,$460 ,15%,28HF2TICGC,,
LAAC,,$415 ,$460 ,15%,288HF2TICGC,,
LAAC,,$415 ,$460 ,15%,2810HF2TICGC,,
LAAC,,$415 ,$460 ,15%,2812HF2TICGC,,
LAAC,,$415 ,$460 ,15%,2814HF2TICGC,,
LAAC,,$415 ,$460 ,15%,2816HF2TICGC,,
LAAC,,$415 ,$460 ,15%,2820HF2TICGC,,
LAAD,210HF2TICGC,$375 ,$517 ,15%,210HF2TICGC,,
LAAD,,$375 ,$517 ,15%,2108HF2TICGC,,
LAAD,,$375 ,$517 ,15%,21010HF2TICGC,,
LAAD,,$375 ,$517 ,15%,21012HF2TICGC,,
LAAD,,$375 ,$517 ,15%,21016HF2TICGC,,
LAAD,,$375 ,$517 ,15%,21020HF2TICGC,,
LAAE,212HF2TICGC,$380 ,$517 ,15%,212HF2TICGC,,
LAAE,,$380 ,$517 ,15%,2128HF2TICGC,,
LAAE,,$380 ,$517 ,15%,21210HF2TICGC,,
LAAE,,$380 ,$517 ,15%,21212HF2TICGC,,
LAAE,,$380 ,$517 ,15%,21216HF2TICGC,,
LAAE,,$380 ,$517 ,15%,21220HF2TICGC,,
LAAF,24HF3TICAG,$310 ,$513 ,15%,24HF3TICAG,,
LAAF,,$310 ,$513 ,15%,2416HF3TICAG,,
LAAG,26HF3TICAG,$195 ,$547 ,15%,26HF3TICAG,,
LAAG,,$195 ,$547 ,15%,2616HF3TICAG,,
LCLQ,44GDF,$550 ,$50 ,16%,44GDF,,
LCLQ,,$550 ,$50 ,16%,448GDF,,
LCLQ,,$550 ,$50 ,16%,4410GDF,,
LCLQ,,$550 ,$50 ,16%,4412GDF,,
LCLQ,,$550 ,$50 ,16%,4416GDF,,
LBMR,46DGF2,$480 ,$50 ,16%,46GDF2,,
LBMR,,$480 ,$50 ,16%,468GDF2,,
LBMR,,$480 ,$50 ,16%,4610GDF2,,
LBMR,,$480 ,$50 ,16%,4612GDF2,,
LBMR,,$480 ,$50 ,16%,4614GDF2,,
LBMR,,$480 ,$50 ,16%,4616GDF2,,
LBMR,,$480 ,$50 ,16%,4618GDF2,,
LBMR,,$480 ,$50 ,16%,4620GDF2,,
LBMS,48GDF2,$635 ,$50 ,16%,48GDF2,,
LBMS,,$635 ,$50 ,16%,488GDF2,,
LBMS,,$635 ,$50 ,16%,4810GDF2,,
LBMS,,$635 ,$50 ,16%,4812GDF2,,
LBMS,,$635 ,$50 ,16%,4814GDF2,,
LBMS,,$635 ,$50 ,16%,4816GDF2,,
LBMS,,$635 ,$50 ,16%,4820GDF2,,
LBMT,410GDF2,$635 ,$50 ,16%,410GDF2,,
LBMT,,$635 ,$50 ,16%,4108GDF2,,
LBMT,,$635 ,$50 ,16%,41010GDF2,,
LBMT,,$635 ,$50 ,16%,41012GDF2,,
LBMT,,$635 ,$50 ,16%,41014GDF2,,
LBMT,,$635 ,$50 ,16%,41016GDF2,,
LBMT,,$635 ,$50 ,16%,41020GDF2,,
LBMU,412GDF2,$575 ,$50 ,16%,412GDF2,,
LBMU,,$575 ,$50 ,16%,4128GDF2,,
LBMT,,$635 ,$50 ,16%,41210GDF2,,
LBMT,,$635 ,$50 ,16%,41212GDF2,,
LBMT,,$635 ,$50 ,16%,41214GDF2,,
LBMT,,$635 ,$50 ,16%,41216GDF2,,
LBMT,,$635 ,$50 ,16%,41220GDF2,,
,,,,,,,
,,,,,,,
,,,,,,,
,D13403408,$129.83 ,0,19.00%,9125DWRA,$162.28 ,Tyvek NTE Expiration Date
,D13841455,$12.10 ,0,20.23%,TTAPE3-164RA,$15.17 ,6/30/2025
,D15554097,$21.09 ,0,21.24%,475DFTRA,$26.78 ,
,D15574061,$106.59 ,0,21.00%,975TFWNFRA,$135.96 ,
