Pricing Zone,Product Category Description,Minor Category Description,Item ID,Item Description,Sequence No,Unconverted - Costing UoM,Conversion Factor,Item Class,Retail Item,Loc Sched,Mgr Disc,PL01 Fixed Sell $,PL12 Fixed Sell $,VMP Sell $,Bypass VMP,Cost Source,Base Cost
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB1240SLF,11-7/8 RFPI-40S LF,20003000,LF,1.000000,D,,,Y,,,,,Manual Replacement,$3.1602
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB127LF,11-7/8 RFPI-70 LF,20003020,LF,1.000000,A,,,Y,,,,,Manual Replacement,$4.3300
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB147LF,14 RFPI-70 LF,20003040,LF,1.000000,B,,,Y,,,,,Manual Replacement,$4.5000
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB167LF,16 RFPI-70 LF,20003060,LF,1.000000,C,,,Y,,,,,Manual Replacement,$4.6600
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB129LF,11-7/8 RFPI-90 LF,20003080,LF,1.000000,B,,,Y,,,,,Manual Replacement,$5.6298
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB149LF,14 RFPI-90 LF,20003100,LF,1.000000,C,,,Y,,,,,Manual Replacement,$5.8098
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB169LF,16 RFPI-90 LF,20003120,LF,1.000000,B,,,Y,,,,,Manual Replacement,$5.9802
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB124LF,11-7/8 RFPI-400 LF,20003160,LF,1.000000,A,,,Y,,,,,Manual Replacement,$2.9700
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB102LF,9-1/2 RFPI-20 LF,20004640,LF,1.000000,A,,,Y,,,,,Manual Replacement,$2.4600
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB122LF,11-7/8 RFPI-20 LF,20004660,LF,1.000000,A,,,Y,,,,,Manual Replacement,$2.5700
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB1040LF,9-1/2 RFPI-40 LF,20006100,LF,1.000000,D,,,Y,,,,,Manual Replacement,$2.9898
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB1240LF,11-7/8 RFPI-40 LF,20006120,LF,1.000000,D,,,Y,,,,,Manual Replacement,$3.1602
PORTOR,20 - ENGINEERED LBR,2001 - I JOISTS,RB1440LF,14 RFPI-40 LF,20006140,LF,1.000000,C,,,Y,,,,,Manual Replacement,$3.2600
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),7RB20LVL,1-3/4X7-1/4 RFP LVL LF,20019860,LF,1.000000,B,,,Y,,,,,Manual Replacement,$3.5598
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),10RB20LVL,1-3/4X9-1/2 RFP LVL LF,20019880,LF,1.000000,A,,,Y,,,,,Manual Replacement,$4.6398
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),12RB20LVL,1-3/4X11-7/8 RFP LVL LF,20019940,LF,1.000000,A,,,Y,,,,,Manual Replacement,$5.7900
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),14RB20LVL,1-3/4X14 RFP LVL LF,20020220,LF,1.000000,A,,,Y,,,,,Manual Replacement,$7.3398
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),16RB20LVL,1-3/4X16 RFP LVL LF,20020240,LF,1.000000,A,,,Y,,,,,Manual Replacement,$8.4100
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),18RB20LVL,1-3/4X18 RFP LVL LF,20020260,LF,1.000000,A,,,Y,,,,,Manual Replacement,$9.4500
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB16LVL4112,"1-1/2X3-1/2"" RFP LVL LF",20020300,LF,1.000000,D,,,Y,,,,,Manual Replacement,$1.5200
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB16LVL6112,"1-1/2X5-1/2"" RFP LVL LF",20020320,LF,1.000000,D,,,Y,,,,,Manual Replacement,$2.1600
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB2LVL10312,3-1/2X9-1/2 RFP LVL LF,20022280,LF,1.000000,B,,,Y,,,,,Manual Replacement,$11.9298
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB2LVL12312,3-1/2X11-7/8 RFP LVL LF,20022300,LF,1.000000,A,,,Y,,,,,Manual Replacement,$13.3098
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB2LVL14312,3-1/2X14 RFP LVL LF,20022320,LF,1.000000,D,,,Y,,,,,Manual Replacement,$15.3000
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB2LVL16312,3-1/2X16 RFP LVL LF,20022340,LF,1.000000,D,,,Y,,,,,Manual Replacement,$21.7800
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB2LVL10514,5-1/4X9-1/2 RFP LVL LF,20022440,LF,1.000000,C,,,Y,,,,,Manual Replacement,$17.7400
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB2LVL12514,5-1/4X11-7/8 RFP LVL LF,20022460,LF,1.000000,A,,,Y,,,,,Manual Replacement,$19.7600
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB2LVL14514,5-1/4X14 RFP LVL LF,20022480,LF,1.000000,C,,,Y,,,,,Manual Replacement,$21.8802
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB2LVL127,7X11-7/8 RFP LVL LF,20022560,LF,1.000000,D,,,Y,,,,,Manual Replacement,$35.1702
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB2LVL147,7X14 RFP LVL LF,20022580,LF,1.000000,D,,,Y,,,,,Manual Replacement,$41.4498
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB13LVL1024112,1-1/2X9-1/2 RFP LVL 24',20022820,EA,1.000000,D,,,Y,,,,,Manual Replacement,$78.9600
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB13LVL1224112,1-1/2X11-7/8 RFP LVL 24',20022840,EA,1.000000,B,,,Y,,,,,Manual Replacement,$99.1200
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB13LVL1424112,1-1/2X14 RFP LVL 24',20022860,EA,1.000000,D,,,Y,,,,,Manual Replacement,$125.2800
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB13LVL1624112,1-1/2X16 RFP LVL 24',20022880,EA,1.000000,D,,,Y,,,,,Manual Replacement,$155.0400
PORTOR,20 - ENGINEERED LBR,2003 - LVL (LAMINATED VENEER LUMBER),RB312912ESL,"3-1/2""X9-1/2"" RB ESL LF",20029940,LF,1.000000,D,,,,,,,,Max,$14.4800
PORTOR,20 - ENGINEERED LBR,2005 - RIM BOARDS,121RIM12,1X11-7/8 OSB RIM 12',20033080,EA,1.000000,D,,,,,,,,Max,$49.0000
PORTOR,20 - ENGINEERED LBR,2005 - RIM BOARDS,141RIM12,1X14 OSB RIM 12',20033100,EA,1.000000,D,,,,,,,,Max,$57.7800
PORTOR,20 - ENGINEERED LBR,2005 - RIM BOARDS,10114TTECRIM16,1-1/4X 9-1/2 TOLKO LSL RIM 16',20033320,EA,1.000000,D,,,Y,,,,,Manual Replacement,$44.0001
PORTOR,20 - ENGINEERED LBR,2005 - RIM BOARDS,12114TTECRIM16,1-1/4X11-7/8 TOLKO LSL RIM 16',20033340,EA,1.000000,C,,,Y,,,,,Manual Replacement,$52.4801
PORTOR,20 - ENGINEERED LBR,2005 - RIM BOARDS,14114TTECRIM16,"1-1/4X14"" TOLKO LSL RIM 16'",20033360,EA,1.000000,D,,,Y,,,,,Manual Replacement,$64.4800
PORTOR,20 - ENGINEERED LBR,2005 - RIM BOARDS,16114TTECRIM16,1-1/4X16 TOLKO LSL RIM 16',20033460,EA,1.000000,D,,,Y,,,,,Manual Replacement,$78.1800
PORTOR,20 - ENGINEERED LBR,2005 - RIM BOARDS,18114TTECRIM16,1-1/4X18 TOLKO LSL RIM 16',20033500,EA,1.000000,D,,,,,,,,Max,$68.3200
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,512512DF18GL,5-1/2X5-1/2 GLAM LF,20036300,LF,1.000000,A,,,Y,,,,,Manual Replacement,$10.3100
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,83412DF18GL,8-3/4X12 GLAM LF,20053840,LF,1.000000,C,,,Y,,,,,Manual Replacement,$42.4200
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,912GL312T,3-1/2X9-1/2 GLAM LF TRTD,20054580,LF,1.000000,D,,,Y,,,,,Manual Replacement,$24.6498
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,12GL512T,5-1/2X11-7/8 GLAM LF TRTD,20054600,LF,1.000000,A,,,Y,,,,,Manual Replacement,$39.9900
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,14GL512T,5-1/2X14 GLAM LF TRTD,20054620,LF,1.000000,C,,,Y,,,,,Manual Replacement,$49.7400
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,16GL512T,5-1/2X16 GLAM LF TRTD,20054640,LF,1.000000,C,,,Y,,,,,Manual Replacement,$55.3602
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,912GL512T,5-1/2X9-1/2 GLAM LF TRTD,20054660,LF,1.000000,D,,,Y,,,,,Manual Replacement,$33.6000
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,12GL312T,3-1/2X11-7/8 GLAM LF TRTD,20054700,LF,1.000000,C,,,Y,,,,,Manual Replacement,$28.6400
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,39DF18GL,3-1/8X9 GLAM LF,20073120,LF,1.000000,A,,,Y,,,,,Max,$9.8924
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,3126DF18GL,3-1/2X6 GLAM LF,20073680,LF,1.000000,D,,,Y,,,,,Manual Replacement,$7.4500
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,312712DF18GL,3-1/2X7-1/2 GLAM LF,20073700,LF,1.000000,A,,,Y,,,,,Manual Replacement,$8.6600
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,3129DF18GL,3-1/2X9 GLAM LF,20073720,LF,1.000000,A,,,Y,,,,,Manual Replacement,$9.8201
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,312912DF18GL,3-1/2X9-1/2 GLAM LF,20073760,LF,1.000000,B,,,Y,,,,,Manual Replacement,$11.2900
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,3121012DF18GL,3-1/2X10-1/2 GLAM LF,20073780,LF,1.000000,A,,,Y,,,,,Manual Replacement,$11.4500
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,3121178DF18GL,3-1/2X11-7/8 GLAM LF,20073820,LF,1.000000,A,,,Y,,,,,Manual Replacement,$12.9201
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,3121312DF18GL,3-1/2X13-1/2 GLAM LF,20073860,LF,1.000000,A,,,Y,,,,,Manual Replacement,$14.5998
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,31214DF18GL,3-1/2X14 GLAM LF,20073880,LF,1.000000,A,,,Y,,,,,Manual Replacement,$16.3700
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,31215DF18GL,3-1/2X15 GLAM LF,20073900,LF,1.000000,A,,,Y,,,,,Manual Replacement,$16.5000
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,31216DF18GL,3-1/2X16 GLULAM LF,20073920,LF,1.000000,D,,,Y,,,,,Manual Replacement,$19.3000
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,3121612DF18GL,3-1/2X16-1/2 GLAM LF,20073940,LF,1.000000,A,,,Y,,,,,Manual Replacement,$19.5200
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,31218DF18GL,3-1/2X18 GLAM LF,20073960,LF,1.000000,A,,,Y,,,,,Manual Replacement,$20.4525
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,5126DF18GL,5-1/2X6 GLAM LF,20074000,LF,1.000000,C,,,Y,,,,,Manual Replacement,$9.6702
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,512712DF18GL,5-1/2X7-1/2 GLAM LF,20074020,LF,1.000000,A,,,Y,,,,,Manual Replacement,$11.9700
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,5129DF18GL,5-1/2X9 GLAM LF,20074040,LF,1.000000,A,,,Y,,,,,Manual Replacement,$13.3400
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,512912DF18GL,5-1/2X9-1/2 GLAM LF,20074080,LF,1.000000,B,,,Y,,,,,Manual Replacement,$15.3600
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,5121012DF18GL,5-1/2X10-1/2 GLAM LF,20074100,LF,1.000000,A,,,Y,,,,,Manual Replacement,$15.4599
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,5121178DF18GL,5-1/2X11-7/8 GLAM LF,20074140,LF,1.000000,A,,,Y,,,,,Manual Replacement,$17.6599
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,5121312DF18GL,5-1/2X13-1/2 GLAM LF,20074180,LF,1.000000,A,,,Y,,,,,Manual Replacement,$19.9601
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,51214DF18GL,5-1/2X14 GLAM LF,20074200,LF,1.000000,A,,,Y,,,,,Manual Replacement,$22.0299
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,51215DF18GL,5-1/2X15 GLAM LF,20074220,LF,1.000000,A,,,Y,,,,,Manual Replacement,$22.1800
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,5121612DF18GL,5-1/2X16-1/2 GLAM LF,20074240,LF,1.000000,A,,,Y,,,,,Manual Replacement,$24.6500
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,51216DF18GL,5-1/2X16 GLAM LF,20074260,LF,1.000000,D,,,Y,,,,,Manual Replacement,$24.1200
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,51218DF18GL,5-1/2X18 GLAM LF,20074280,LF,1.000000,A,,,Y,,,,,Manual Replacement,$27.4800
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,5121912DF18GL,5-1/2X19-1/2 GLAM LF,20074300,LF,1.000000,A,,,Y,,,,,Manual Replacement,$30.1800
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,51221DF18GL,5-1/2X21 GLAM LF,20074320,LF,1.000000,A,,,Y,,,,,Manual Replacement,$33.2800
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,5122212DF18GL,5-1/2X22-1/2 GLAM LF,20074340,LF,1.000000,A,,,Y,,,,,Manual Replacement,$35.1500
PORTOR,20 - ENGINEERED LBR,2006 - GLULAM,51224DF18GL,5-1/2X24 GLAM LF,20074360,LF,1.000000,A,,,Y,,,,,Manual Replacement,$37.5198
