Holt_Phase,Phase_Name,Description,Row_Count
0,Base House - Plan 1649/1670,Base house definitions for specific plans,32
1,Base House - Plan 1670,Plan 1670 base house (Interior Trim),1
2,Base House - Plan 1890,Plan 1890 base house (Interior Trim),1
3,Base House - Plan 2184,Plan 2184 base house (Interior Trim),1
4,Base House - Plan 2299,Plan 2299 base house (Interior Trim),1
5,Base House - Plan 2321,Plan 2321 base house (Interior Trim),1
6,Base House - Plan 2336,Plan 2336 base house (Interior Trim),1
7,Base House - Plan 2383,Plan 2383 base house (Interior Trim),1
8,Base House - Plan 2414,Plan 2414 base house (Interior Trim),1
9,Base House - Plan 2674,Plan 2674 base house (Interior Trim),1
10,Elevations,Standard elevation options (A/B/C/D) and enhanced versions,613
11,Siding Add-ons,Exterior finishes - Faux Wood colors and Masonry options,132
12,Base House - Plan 3297,Plan 3297 base house (Interior Trim),1
13,Specialty Siding,SH Bellburn and Nichiha siding options,10
18,SH Balconies/Soffits,Covered rear balconies and soffit with cove lighting,16
19,Retreats,Optional retreats with covered patios,67
20,Structural Add-ons,"Covered patios, dens, bedrooms, regional engineering",99
21,Floor/Storage Options,Open web floor joists and storage options,7
25,Bath Options,Optional bathtub at primary and mudset showers,2
36,Smart Home,Smart home packages (Green Marbles),1
40,Window Options,Window frame color options (Black exterior/white interior),78
49,Transom Windows,Transom windows above entry door,3
80,Fireplaces,Double-sided gas fireplace options,3
83,Doors and Trim,"8' interior doors, crown molding, baseboards",236
