Sku,Qty,Description,Pack,Manual Price,System Price,System Cost,Type,Qty UOM,Price UOM,EXT Price,Manual Cost,Margin (Avg %),Last Edited By,Day/Time,Price Source,Price Territory,Begin/End Date,Category,Target Margin,Minimum Margin,Price Last Update,Vendor Reprice Date,Notes,Tally Measurements,Extended Description,Estimator Notes
	,0,2X6-16' #3 HF TRTD AG ICT,|12ABCD 3RD CAR GARAGE FOUNDATION,857.65000,,,CO,,,0.0000000000000,,,Corey Boser,"11/18/2025; 11:17 PM",Manual,,,,,,,,,,,
SS550,0,SILL SEALER 5.5" X 50',|12ABCD 3RD CAR GARAGE FOUNDATION,6.14000,8.19000,,ST,EA,EA,0.0000000000000,,20.0,Corey Boser,"11/18/2025; 11:19 PM",Manual,,,3704,43.0000,25.0000,11/18/2025,,,,,Test
SS550,1,SILL SEALER 5.5" X 50',|12ABCD 3RD CAR GARAGE FOUNDATION-A-3CAR,6.14000,8.19000,,ST,EA,EA,6.1400000000000,,20.0,Corey Boser,"11/18/2025; 11:15 PM",Manual,,,3704,43.0000,25.0000,11/18/2025,,,,,
BP5/8-3HDG,0,5/8" 3X3 BEARING PLATE HDG,|12ABCD 3RD CAR GARAGE FOUNDATION,0.66000,0.95040,,ST,EA,EA,0.0000000000000,,39.4,Corey Boser,"11/18/2025; 11:15 PM",Manual,,,4502,,,11/18/2025,,,,,
BP5/8-3HDG,10,5/8" 3X3 BEARING PLATE HDG,|12ABCD 3RD CAR GARAGE FOUNDATION-A-3CAR,0.66000,0.95040,,ST,EA,EA,6.6000000000000,,39.4,Corey Boser,"11/18/2025; 11:15 PM",Manual,,,4502,,,11/18/2025,,,,,
2610458DF,0,2X6-104-5/8" STUD DF PET,|22ABCD 3RD CAR GARAGE WALLS,574.71000,653.00000,,ST,MBF,MBF,0.0000000000000,,18.2,Corey Boser,"11/18/2025; 11:15 PM",Manual,zone,11/17/2025,2505,,,11/18/2025,,,,,
2610458DF,27,2X6-104-5/8" STUD DF PET,|22ABCD 3RD CAR GARAGE WALLS-A-3CAR,574.71000,653.00000,,ST,MBF,MBF,139.6545300000000,,18.2,Corey Boser,"11/18/2025; 11:15 PM",Manual,zone,11/17/2025,2505,,,11/18/2025,,,,,
2414DF,0,2X4-14' STD&BTR DF,|22ABCD 3RD CAR GARAGE WALLS,634.83000,744.00000,,ST,MBF,MBF,0.0000000000000,,15.7,Corey Boser,"11/18/2025; 11:15 PM",Manual,zone,11/17/2025,2503,,,11/18/2025,,,,,
2414DF,4,2X4-14' STD&BTR DF,|22ABCD 3RD CAR GARAGE WALLS-A-3CAR,634.83000,744.00000,,ST,MBF,MBF,23.6994735600000,,15.7,Corey Boser,"11/18/2025; 11:15 PM",Manual,zone,11/17/2025,2503,,,11/18/2025,,,,,
26DF2,0,2X6-RL #2&BTR DF,|22ABCD 3RD CAR GARAGE WALLS,567.42000,677.00000,,ST,MBF,MBF,0.0000000000000,,14.2,Corey Boser,"11/18/2025; 11:15 PM",Manual,zone,11/10/2025,2503,,,11/18/2025,,,,,
