Description,Blank1,Blank2,Sku,Quantity,Price,Blank4,Pack
2X4-RL STD&BTR DF,,,24DF,60,634.83000,,|10 FOUNDATION
2X6-16' #3 HF TRTD AG ICT,,,2616HF3TICAG,12,872.94000,,|10 FOUNDATION
4X4-10' STD&BTR DF GRN,,,4410GDF,6,714.29000,,|10 FOUNDATION
4X6-10' #2&BTR DF GRN,,,4610GDF2,2,630.95000,,|10 FOUNDATION
4X8-8' #2 DF GRN,,,488GDF2,2,815.48000,,|10 FOUNDATION
4X8-10' #2 DF GRN,,,4810GDF2,5,815.48000,,|10 FOUNDATION
4X8-16' #2 DF GRN,,,4816GDF2,15,815.48000,,|10 FOUNDATION
12'X100' 6 MIL BLACK POLY,,,612100B,1,52.49000,,|10 FOUNDATION
7/16"4X8 OSB RTD,,,716OSB,4,307.95000,,|10 FOUNDATION
SIMPSON A34 FRAMNG ANCHOR,,,A34,35,0.49000,,|10 FOUNDATION
5/8" 3X3 BEARING PLATE HDG,,,BP5/8-3HDG,68,0.67000,,|10 FOUNDATION
FACE MOUNT HANGER,,,HU48,4,11.36000,,|10 FOUNDATION
DUNNAGE SHINGLES,,,DUNSHINGLE,2,26.99000,,|10 FOUNDATION
SILL SEALER 5.5" X 50',,,SS550,4,7.99000,,|10 FOUNDATION
2X4-8' STD&BTR DF,,,248DF,8,634.83000,,|10 FOUNDATION
1-1/8"4X8 T&G OSB EDGGLD SIF,,,118TGOSBWGOFF,24,1017.44000,,|18 MAIN DECKING
BFS SUB FLR GLUE 28OZ,,,SFG,6,4.08000,,|18 MAIN DECKING
2X4-104-5/8" STUD DF PET,,,2410458DF,52,511.36000,,|20 MAIN WALLS
2X6-104-5/8" STUD DF PET,,,2610458DF,148,517.24000,,|20 MAIN WALLS
2X4-RL STD&BTR DF,,,24DF,82,634.83000,,|20 MAIN WALLS
2X4-14' STD&BTR DF,,,2414DF,26,634.83000,,|20 MAIN WALLS
2X4-20' STD&BTR DF,,,2420DF,6,634.83000,,|20 MAIN WALLS
2X6-RL #2&BTR DF,,,26DF2,424,556.18000,,|20 MAIN WALLS
4X12-12' #2&BTR DF GRN,,,41212GDF2,1,815.48000,,|20 MAIN WALLS
5-1/2X15 GLAM LF,,,51215DF18GL,21,26.09000,,|20 MAIN WALLS
7/16"4X8 OSB RTD,,,716OSB,4,307.95000,,|20 MAIN WALLS
7/16"4X10 OSB RTD,,,716OSB10,40,330.68000,,|20 MAIN WALLS
6X6-12' #2 HF TRTD GC ICT,,,6612HF2TICGC,1,1681.00000,,|20 MAIN WALLS
1-7/16X4-1/2" FRAMING ANCHOR,,,A35,4,0.53000,,|20 MAIN WALLS
ABU66 6X6 ADJ. POST Z-MAX,,,ABU66Z,1,41.35000,,|20 MAIN WALLS
COILED STRAP 22GA 25',,,CS22-R,1,32.42000,,|20 MAIN WALLS
13-3/16" PREDEFLECTED HOLDOWN,,,HDU5-SDS2.5,2,35.12000,,|20 MAIN WALLS
SIMPSON LCE4 POST CAP Z-MAX,,,LCE4Z,2,6.64000,,|20 MAIN WALLS
5/8-11 FIN HEX NUT 25#,,,MF04685EA,2,0.69000,,|20 MAIN WALLS
24" MEDIUM STRAP TIE SIMPSON,,,MSTA24,8,1.63000,,|20 MAIN WALLS
5/8 X 5" STRONG-BOLT 2 ANCHOR,,,STB2-62500,1,2.59000,,|20 MAIN WALLS
2X4 22-7/16 SOLID BIRD BLOCK,,,24SBB,8,0.72000,,|20rf MAIN WALLS READYFRAME
2X6 22-7/16 SOLID BIRD BLOCK,,,26SBB,31,0.72000,,|20rf MAIN WALLS READYFRAME
7/16" X 3 1/2" X 8' OSB STRIPS,,,OSBSTRIPS,4,1.39000,,|20rf MAIN WALLS READYFRAME
7/16"5-1/2"X8 OSB NON-RTD,,,7165128OSB,10,411.00000,,|20rf MAIN WALLS READYFRAME
2X4-RL STD&BTR DF,,,24DF,236,634.83000,,|20rf MAIN WALLS READYFRAME
2X6-RL #2&BTR DF,,,26DF2,883,556.18000,,|20rf MAIN WALLS READYFRAME
2X6-20' #2&BTR DF,,,2620DF2,32,556.18000,,|20rf MAIN WALLS READYFRAME
4X10-8' #2 DF GRN,,,4108GDF2,1,815.48000,,|20rf MAIN WALLS READYFRAME
4X12-8' #2&BTR DF GRN,,,4128GDF2,1,744.05000,,|20rf MAIN WALLS READYFRAME
4X8-12' #2 DF GRN,,,4812GDF2,2,815.48000,,|20rf MAIN WALLS READYFRAME
6X6-10' #2&BTR DF GRN,,,6610GDF2,2,1036.00000,,|20rf MAIN WALLS READYFRAME
1670 Floor Truss Pricing,,,1670FT,1,2235.00000,,|30 2ND FLOOR SYSTEM
1-1/4X14" TOLKO LSL RIM 16',,,14114TTECRIM16,14,77.69000,,|30 2ND FLOOR SYSTEM
1-3/4X14 BC LVL 2.1E LF,,,WBC2LVL14LF,6,9.45000,,|30 2ND FLOOR SYSTEM
5-1/2X15 GLAM LF,,,51215DF18GL,21,26.09000,,|30 2ND FLOOR SYSTEM
2X4-20' STD&BTR DF,,,2420DF,3,634.83000,,|30 2ND FLOOR SYSTEM
2X6-20' #2&BTR DF,,,2620DF2,8,556.18000,,|30 2ND FLOOR SYSTEM
2X8-8' #2&BTR DF,,,288DF2,4,640.45000,,|30 2ND FLOOR SYSTEM
2X12-20' #2&BTR DF,,,21220DF2,3,636.36000,,|30 2ND FLOOR SYSTEM
1-1/8"4X8 T&G OSB EDGGLD SIF,,,118TGOSBWGOFF,1,1017.44000,,|30 2ND FLOOR SYSTEM
5/4"X12"-12' STEP TREAD OSB,,,1212OSBS,5,23.49000,,|30 2ND FLOOR SYSTEM
LUS28 JOIST HANGER 2X8,,,LUS28,8,1.37000,,|30 2ND FLOOR SYSTEM
LS50 5" ADJ L ANGLE SIMPSON,,,LS50,10,2.22000,,|30 2ND FLOOR SYSTEM
7/8"4X8 T&G OSB EDGGLD SIF FF,,,78TGOSBWGOFF,34,773.26000,,|32 2ND FLOOR SUBFLOOR
BFS SUB FLR GLUE 28OZ,,,SFG,9,4.08000,,|32 2ND FLOOR SUBFLOOR
2X4-92-5/8" STUD DF PET,,,249258DF,143,431.82000,,|34 2ND FLOOR WALLS
2X6-92-5/8" STUD DF PET,,,269258DF,136,397.73000,,|34 2ND FLOOR WALLS
1X4-12' STD&BTR FIR KD,,,1412FIR,17,935.29000,,|34 2ND FLOOR WALLS
1X6-12' STD&BTR FIR KD,,,1612FIR,3,1017.80000,,|34 2ND FLOOR WALLS
2X4-RL STD&BTR DF,,,24DF,20,634.83000,,|34 2ND FLOOR WALLS
2X4-14' STD&BTR DF,,,2414DF,26,634.83000,,|34 2ND FLOOR WALLS
2X6-RL #2&BTR DF,,,26DF2,182,556.18000,,|34 2ND FLOOR WALLS
7/16"4X9 OSB RTD,,,716OSB9,32,319.32000,,|34 2ND FLOOR WALLS
SIMPSON MSTC40 STRAP TIE,,,MSTC40,2,11.21000,,|34 2ND FLOOR WALLS
7/16" X 3 1/2" X 8' OSB STRIPS,,,OSBSTRIPS,4,1.39000,,|34rf 2ND FLOOR WALLS READYFRAME
7/16"5-1/2"X8 OSB NON-RTD,,,7165128OSB,8,411.00000,,|34rf 2ND FLOOR WALLS READYFRAME
2X4-RL STD&BTR DF,,,24DF,486,634.83000,,|34rf 2ND FLOOR WALLS READYFRAME
2X6-RL #2&BTR DF,,,26DF2,554,556.18000,,|34rf 2ND FLOOR WALLS READYFRAME
4X8-12' #2 DF GRN,,,4812GDF2,2,815.48000,,|34rf 2ND FLOOR WALLS READYFRAME
1X4-20' WW PRIMED,,,1420WWP,8,2448.24000,,|40 ROOF
2"X8"-20' WW PRIMED,,,2820WWP,8,1487.21000,,|40 ROOF
2X4-RL STD&BTR DF,,,24DF,540,634.83000,,|40 ROOF
2X6-RL #2&BTR DF,,,26DF2,320,556.18000,,|40 ROOF
2X8-14' #2&BTR DF,,,2814DF2,3,640.45000,,|40 ROOF
7/16"4X8 OSB RTD,,,716OSB,60,307.95000,,|40 ROOF
4X8 TX SOFFIT SMART STRAND 76,,,SS7648CS,9,1758.82000,,|40 ROOF
1-7/16X4-1/2" FRAMING ANCHOR,,,A35,20,0.53000,,|40 ROOF
LS50 5" ADJ L ANGLE SIMPSON,,,LS50,60,2.22000,,|40 ROOF
1/2" STEEL PLYWOOD CLIP (EA),,,PSCL1/2EA,220,0.08000,,|40 ROOF
LIGHT WEIGHT GIRDER TIE DOWN,,,LGT2,2,10.33000,,|40 ROOF
2X8-10' #2&BTR DF,,,2810DF2,2,640.45000,,|40 ROOF
2X8-16' #2&BTR DF,,,2816DF2,8,640.45000,,|40 ROOF
ARS28 "SUPER ANCHOR" ROOF,,,ARS28RA,2,65.49000,,|40 ROOF
DEFLECTOR SCREWS 6" RETAIL PACK; 50 CT,,,SDPW19600-R50,1,111.04000,,|40 ROOF
9'X125' TYVEK DRAINWRP RICHMND,,,9125DWRA,4,160.28000,,|58 HOUSEWRAP
3"X164' TYVEK WHT TP RICHMOND,,,TTAPE3-164RA,8,15.12500,,|58 HOUSEWRAP
4"X75' DUPONT FLASH TP RICHMND,,,475DFTRA,1,26.70000,,|58 HOUSEWRAP
3/8" STINGER STAPLE PAC 2016CT,,,CH38SP,3,56.64000,,|58 HOUSEWRAP
2"X2"-20' WW PRIMED,,,2220WWP,7,1683.72000,,|60 EXTERIOR TRIM AND SIDING
HARDIE HZ10 SHGL STAGGEREDEDGE,,,HZ10PSTE,41,7.98000,,|60 EXTERIOR TRIM AND SIDING
TRM 5/4 PR RG HZ 7.25X12',,,HZU54812RT,2,5130.59000,,|60 EXTERIOR TRIM AND SIDING
4X1-1/8X3/8 WHT HIGH BACK FLSH,,,EM390073,10,8.47000,,|60 EXTERIOR TRIM AND SIDING
2X6-12' #2&BTR DF,,,2612DF2,1,556.18000,,|60 EXTERIOR TRIM AND SIDING
4X6-12' #2&BTR DF GRN,,,4612GDF2,1,630.95000,,|60 EXTERIOR TRIM AND SIDING
PAN PR SMOOTH 4X9,,,HZ1049SMP,6,1471.76000,,|60 EXTERIOR TRIM AND SIDING
PLK PR CM SEL HZ10 8.25X12,,,HZ10814CMSP,390,1349.41000,,|60 EXTERIOR TRIM AND SIDING
TRM 4/4 BATT PR RG HZ 2.5X12',,,HZU1312RB,14,4714.12000,,|60 EXTERIOR TRIM AND SIDING
TRM 4/4 PR RG HZ 3.5X12'AIN,,,HZU1412RT,2,4714.12000,,|60 EXTERIOR TRIM AND SIDING
TRM 5/4 PR RG HZ 3.5X12',,,HZU54412RT,26,5130.59000,,|60 EXTERIOR TRIM AND SIDING
TRM 5/4 PR RG HZ 5.5X12',,,HZU54612RT,6,5130.59000,,|60 EXTERIOR TRIM AND SIDING
TRM 5/4 PR RG HZ 9.25X12',,,HZU541012RT,4,5130.59000,,|60 EXTERIOR TRIM AND SIDING
4X1-3/8X3/8 WHT HIGH BACK FLSH,,,EM390074,4,8.65000,,|60 EXTERIOR TRIM AND SIDING
120DEG DRIP 3/8 HEM BROWN 26GA,,,4238HMDB,1,20.09000,,|60 EXTERIOR TRIM AND SIDING
4-1/2"X8" POLY JNT FLASH EA PC,,,4128JNTFLSHEA,281,0.37000,,|60 EXTERIOR TRIM AND SIDING
TX1 TEXT POLY SEALANT WHT 10OZ,,,TX1WHT10,78,5.66000,,|60 EXTERIOR TRIM AND SIDING
2"X8"-20' WW PRIMED,,,2820WWP,2,1487.21000,,|60 EXTERIOR TRIM AND SIDING
PAN PR CEDRML 4X8,,,HZ1048CMP,5,1362.35000,,|60 EXTERIOR TRIM AND SIDING
PLK PR CM SEL HZ10 12X12',,,HZ1012CMSP,4,1349.41000,,|60 EXTERIOR TRIM AND SIDING
4X1-5/8X3/8 WHT HIGH BACK FLSH,,,EM390075,1,8.94000,,|60 EXTERIOR TRIM AND SIDING
7.25"X9.5" LIGHT BLOCK RUSTIC,,,PPG725MLBR,3,11.76000,,|60 EXTERIOR TRIM AND SIDING
5.5"X7.5"R&R SPLT MOUNT BIB RS,,,PPGPR100BB,2,11.76000,,|60 EXTERIOR TRIM AND SIDING
7.25"X9.25" R&R VENT BLOCK RUS,,,PPGPR103VB,1,11.61000,,|60 EXTERIOR TRIM AND SIDING
P-50 QUICKFLASH PANEL,,,QFP50,2,6.40000,,|60 EXTERIOR TRIM AND SIDING
E-3/0B-A 1-3/8 FLASHING PANEL,,,QFPE30BA,3,6.14000,,|60 EXTERIOR TRIM AND SIDING
