Sku,Description,Elevation,Option,Pack,Quantity,Price
2616HF3TICAG,2X6-16' #3 HF TRTD AG ICT,,,|10 FOUNDATION,11,861.18
2816HF2TICGC,2X8-16' #2 HF TRTD GC ICT,,,|10 FOUNDATION,5,1047.06
616100B,16'X100' 6 MIL BLACK POLY,,,|10 FOUNDATION,1,69.49
BP5/8-3HDG,5/8" 3X3 BEARING PLATE HDG,,,|10 FOUNDATION,96,0.69
DUNSHINGLE,DUNNAGE SHINGLES,,,|10 FOUNDATION,1,27.39
SS550,SILL SEALER 5.5" X 50',,,|10 FOUNDATION,3,6.14
SS750,SILL SEALER 7.5" X 50',,,|10 FOUNDATION,2,11.11
21010DF2,2X10-10' #2&BTR DF,,,|11 MAIN JOIST SYSTEM,12,664.77
21012DF2,2X10-12' #2&BTR DF,,,|11 MAIN JOIST SYSTEM,13,664.77
21014DF2,2X10-14' #2&BTR DF,,,|11 MAIN JOIST SYSTEM,4,664.77
21020DF2,2X10-20' #2&BTR DF,,,|11 MAIN JOIST SYSTEM,29,664.77
4412GDF,4X4-12' STD&BTR DF GRN,,,|11 MAIN JOIST SYSTEM,3,702.38
4612GDF2,4X6-12' #2&BTR DF GRN,,,|11 MAIN JOIST SYSTEM,1,625.00
4816GDF2,4X8-16' #2 DF GRN,,,|11 MAIN JOIST SYSTEM,2,809.52
4820GDF2,4X8-20' #2 DF GRN,,,|11 MAIN JOIST SYSTEM,2,809.52
41014GDF2,4X10-14' #2 DF GRN,,,|11 MAIN JOIST SYSTEM,2,809.52
716OSB,7/16"4X8 OSB RTD,,,|11 MAIN JOIST SYSTEM,2,302.27
LB210AZ,2X10 TOP FLANGE JST HNGER ZMAX,,,|11 MAIN JOIST SYSTEM,86,6.36
LUS210,LUS210 JOIST HANGER 2X10,,,|11 MAIN JOIST SYSTEM,122,1.56
HUS26,SIMPSON HUS26 JOIST HANGER EA,,,|11 MAIN JOIST SYSTEM,5,2.51
A35Z,A35 FRAMING ANCHOR Z-MAX,,,|11 MAIN JOIST SYSTEM,21,0.59
26DF2,2X6-RL #2&BTR DF,,,|20 MAIN WALLS READYFRAME,26,561.80
312712DF18GL,3-1/2X7-1/2 GLAM LF,,,|20 MAIN WALLS READYFRAME,4,10.19
3129DF18GL,3-1/2X9 GLAM LF,,,|20 MAIN WALLS READYFRAME,6,11.55
210DF2,2X10-RL #2&BTR DF,,,|20 MAIN WALLS READYFRAME,16,664.77
24DF,2X4-RL STD&BTR DF,,,|20 MAIN WALLS READYFRAME,298,629.21
26DF2,2X6-RL #2&BTR DF,,,|20 MAIN WALLS READYFRAME,1644,561.80
28DF2,2X8-RL #2&BTR DF,,,|20 MAIN WALLS READYFRAME,32,653.41
34TGOSBWGOFF,23/32"4X8 T&G OSB EDGGLD SIF,,,|18 MAIN FLOOR SUBFLOOR,44,620.93
SFG,BFS SUB FLR GLUE 28OZ,,,|18 MAIN FLOOR SUBFLOOR,12,4.11
2410458DF,2X4-104-5/8" STUD DF PET,,,|20 MAIN FLOOR WALLS,58,562.50
2610458DF,2X6-104-5/8" STUD DF PET,,,|20 MAIN FLOOR WALLS,252,568.97
24DF,2X4-RL STD&BTR DF,,,|20 MAIN FLOOR WALLS,374,629.21
2414DF,2X4-14' STD&BTR DF,,,|20 MAIN FLOOR WALLS,19,629.21
