Description,Blank1,Blank2,Sku,Quantity,Price,Blank4,Pack
2X6-16' #3 HF TRTD AG ICT,,,2616HF3TICAG,11,861.18000,,|10 FOUNDATION
2X8-16' #2 HF TRTD GC ICT,,,2816HF2TICGC,5,1047.06000,,|10 FOUNDATION
16'X100' 6 MIL BLACK POLY,,,616100B,1,69.49000,,|10 FOUNDATION
5/8" 3X3 BEARING PLATE HDG,,,BP5/8-3HDG,96,0.69000,,|10 FOUNDATION
DUNNAGE SHINGLES,,,DUNSHINGLE,1,27.39000,,|10 FOUNDATION
SILL SEALER 5.5" X 50',,,SS550,3,6.14000,,|10 FOUNDATION
SILL SEALER 7.5" X 50',,,SS750,2,11.11000,,|10 FOUNDATION
2X10-10' #2&BTR DF,,,21010DF2,12,664.77000,,|11 MAIN JOIST SYSTEM
2X10-12' #2&BTR DF,,,21012DF2,13,664.77000,,|11 MAIN JOIST SYSTEM
2X10-14' #2&BTR DF,,,21014DF2,4,664.77000,,|11 MAIN JOIST SYSTEM
2X10-20' #2&BTR DF,,,21020DF2,29,664.77000,,|11 MAIN JOIST SYSTEM
4X4-12' STD&BTR DF GRN,,,4412GDF,3,702.38000,,|11 MAIN JOIST SYSTEM
4X6-12' #2&BTR DF GRN,,,4612GDF2,1,625.00000,,|11 MAIN JOIST SYSTEM
4X8-16' #2 DF GRN,,,4816GDF2,2,809.52000,,|11 MAIN JOIST SYSTEM
4X8-20' #2 DF GRN,,,4820GDF2,2,809.52000,,|11 MAIN JOIST SYSTEM
4X10-14' #2 DF GRN,,,41014GDF2,2,809.52000,,|11 MAIN JOIST SYSTEM
7/16"4X8 OSB RTD,,,716OSB,2,302.27000,,|11 MAIN JOIST SYSTEM
2X10 TOP FLANGE JST HNGER ZMAX,,,LB210AZ,86,6.36000,,|11 MAIN JOIST SYSTEM
LUS210 JOIST HANGER 2X10,,,LUS210,122,1.56000,,|11 MAIN JOIST SYSTEM
SIMPSON HUS26 JOIST HANGER EA,,,HUS26,5,2.51000,,|11 MAIN JOIST SYSTEM
A35 FRAMING ANCHOR Z-MAX,,,A35Z,21,0.59000,,|11 MAIN JOIST SYSTEM
2X6-RL #2&BTR DF,,,26DF2,1670,561.80000,,|20 MAIN WALLS READYFRAME
3-1/2X7-1/2 GLAM LF,,,312712DF18GL,4,10.19000,,|20 MAIN WALLS READYFRAME
3-1/2X9 GLAM LF,,,3129DF18GL,6,11.55000,,|20 MAIN WALLS READYFRAME
2X10-RL #2&BTR DF,,,210DF2,16,664.77000,,|20 MAIN WALLS READYFRAME
2X4-RL STD&BTR DF,,,24DF,298,629.21000,,|20 MAIN WALLS READYFRAME
2X8-RL #2&BTR DF,,,28DF2,32,653.41000,,|20 MAIN WALLS READYFRAME
