Sku,Qty,Description,Pack,Manual Price,System Price,System Cost,Type,Qty UOM,Price UOM,EXT Price,Manual Cost,Margin (Avg %),Last Edited By,Day/Time,Price Source,Price Territory,Begin/End Date,Category,Target Margin,Minimum Margin,Price Last Update,Vendor Reprice Date,Notes,Tally Measurements,Extended Description,Estimator Notes
24DF,0,2X4-RL STD&BTR DF,|10 FOUNDATION,634.83000,744.00000,,ST,MBF,MBF,0.0000000000000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,
24DF,60,2X4-RL STD&BTR DF,|10 FOUNDATION-A,634.83000,744.00000,,ST,MBF,MBF,25.4058966000000,,15.7,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2503,,,11/19/2025,,,,,bracing
2616HF3TICAG,0,2X6-16' #3 HF TRTD AG ICT,|10 FOUNDATION,872.94000,829.00000,,ST,MBF,MBF,0.0000000000000,,35.5,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3002,,,11/19/2025,,,,,
2616HF3TICAG,12,2X6-16' #3 HF TRTD AG ICT,|10 FOUNDATION-A,872.94000,829.00000,,ST,MBF,MBF,167.6044800000000,,35.5,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,3002,,,11/19/2025,,,,,sill plate
4410GDF,0,4X4-10' STD&BTR DF GRN,|10 FOUNDATION,714.29000,811.00000,,ST,MBF,MBF,0.0000000000000,,23.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2201,,,11/19/2025,,,,,
4410GDF,6,4X4-10' STD&BTR DF GRN,|10 FOUNDATION-A,714.29000,811.00000,,ST,MBF,MBF,57.1417714200000,,23.0,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/17/2025,2201,,,11/19/2025,,,,,crawl post
4610GDF2,0,4X6-10' #2&BTR DF GRN,|10 FOUNDATION,630.95000,817.00000,,ST,MBF,MBF,0.0000000000000,,10.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/10/2025,2201,,,11/19/2025,,,,,
4610GDF2,2,4X6-10' #2&BTR DF GRN,|10 FOUNDATION-A,630.95000,817.00000,,ST,MBF,MBF,25.2380000000000,,10.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,11/10/2025,2201,,,11/19/2025,,,,,crawl post
488GDF2,0,4X8-8' #2 DF GRN,|10 FOUNDATION,815.48000,939.00000,,ST,MBF,MBF,0.0000000000000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,
488GDF2,2,4X8-8' #2 DF GRN,|10 FOUNDATION-A,815.48000,939.00000,,ST,MBF,MBF,34.7932696800000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,crawl post
4810GDF2,0,4X8-10' #2 DF GRN,|10 FOUNDATION,815.48000,939.00000,,ST,MBF,MBF,0.0000000000000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,
4810GDF2,5,4X8-10' #2 DF GRN,|10 FOUNDATION-A,815.48000,939.00000,,ST,MBF,MBF,108.7320258000000,,21.8,Corey Boser,"11/19/2025; 12:18 AM",Manual,zone,10/27/2025,2201,,,11/19/2025,,,,,floor beam
