Sku,Description,Elevation,Option,Pack,Quantity,Price
24DF,2X4-RL STD&BTR DF,A,,|10 FOUNDATION,60,634.83
2616HF3TICAG,2X6-16' #3 HF TRTD AG ICT,A,,|10 FOUNDATION,12,872.94
4410GDF,4X4-10' STD&BTR DF GRN,A,,|10 FOUNDATION,6,714.29
4610GDF2,4X6-10' #2&BTR DF GRN,A,,|10 FOUNDATION,2,630.95
488GDF2,4X8-8' #2 DF GRN,A,,|10 FOUNDATION,2,815.48
4810GDF2,4X8-10' #2 DF GRN,A,,|10 FOUNDATION,5,815.48
4816GDF2,4X8-16' #2 DF GRN,A,,|10 FOUNDATION,15,815.48
612100B,12'X100' 6 MIL BLACK POLY,A,,|10 FOUNDATION,1,52.49
716OSB,7/16"4X8 OSB RTD,A,,|10 FOUNDATION,4,307.95
A34,SIMPSON A34 FRAMNG ANCHOR,A,,|10 FOUNDATION,35,0.49
BP5/8-3HDG,5/8" 3X3 BEARING PLATE HDG,A,,|10 FOUNDATION,68,0.67
HU48,FACE MOUNT HANGER,A,,|10 FOUNDATION,4,11.36
DUNSHINGLE,DUNNAGE SHINGLES,A,,|10 FOUNDATION,2,26.99
SS550,SILL SEALER 5.5" X 50',A,,|10 FOUNDATION,4,7.99
248DF,2X4-8' STD&BTR DF,A,,|10 FOUNDATION,8,634.83
118TGOSBWGOFF,1-1/8"4X8 T&G OSB EDGGLD SIF,A,,|18 MAIN DECKING,24,1017.44
SFG,BFS SUB FLR GLUE 28OZ,A,,|18 MAIN DECKING,6,4.08
2410458DF,2X4-104-5/8" STUD DF PET,A,,|20 MAIN WALLS,52,511.36
2610458DF,2X6-104-5/8" STUD DF PET,A,,|20 MAIN WALLS,148,517.24
24DF,2X4-RL STD&BTR DF,A,,|20 MAIN WALLS,82,634.83
2414DF,2X4-14' STD&BTR DF,A,,|20 MAIN WALLS,26,634.83
2420DF,2X4-20' STD&BTR DF,A,,|20 MAIN WALLS,6,634.83
26DF2,2X6-RL #2&BTR DF,A,,|20 MAIN WALLS,424,556.18
41212GDF2,4X12-12' #2&BTR DF GRN,A,,|20 MAIN WALLS,1,815.48
51215DF18GL,5-1/2X15 GLAM LF,A,,|20 MAIN WALLS,21,26.09
716OSB,7/16"4X8 OSB RTD,A,,|20 MAIN WALLS,4,307.95
716OSB10,7/16"4X10 OSB RTD,A,,|20 MAIN WALLS,40,330.68
6612HF2TICGC,6X6-12' #2 HF TRTD GC ICT,A,,|20 MAIN WALLS,1,1681.00
